Type,Profit,Run up,Drawdown
SELL,-0.0105,0.0297,-0.0195
BUY,-0.0084,0.0048,-0.0086
SELL,-0.0143,0.0094,-0.0293
BUY,-0.0255,0.0118,-0.0315
SELL,-0.022,0.002,-0.0227
BUY,0.0398,0.0832,-0.0088
SELL,-0.0307,0,-0.0305
BUY,0.1032,0.148,-0.0055
SELL,-0.0051,0.0451,-0.0099
BUY,-0.0153,0.0146,-0.0202
SELL,-0.017,0.0067,-0.0179
BUY,-0.0128,0.0182,-0.0187
SELL,-0.0117,0.0196,-0.0117
BUY,-0.0147,0.0137,-0.0159
SELL,0.0992,0.146,-0.0059
BUY,-0.0208,0.0061,-0.0246
SELL,-0.008,0.0493,-0.0153
BUY,0.0097,0.0533,-0.009
SELL,0.031,0.0733,-0.0028
BUY,-0.0064,0.0222,-0.0097
SELL,0.0031,0.0497,-0.001
BUY,-0.0082,0.0211,-0.0165
SELL,0.0141,0.0465,-0.0051
BUY,-0.0064,0.0133,-0.011
SELL,-0.0077,0.0234,-0.013
BUY,-0.0133,0.0343,-0.0153
SELL,0.2091,0.338,-0.0009
BUY,-0.0199,0.0015,-0.0256
SELL,-0.0198,0.0032,-0.0309
BUY,-0.0258,0.0409,-0.0287
SELL,-0.0253,0.0049,-0.0256
BUY,-0.0298,0.0019,-0.0378
SELL,-0.0299,0.0015,-0.0327
BUY,-0.0195,0.0204,-0.0242
SELL,-0.0222,0.0019,-0.0239
BUY,-0.0126,0.0155,-0.0137
SELL,-0.0012,0.0405,-0.0078
BUY,-0.0143,0.0297,-0.0162
SELL,-0.0236,0.0257,-0.0254
BUY,-0.0275,0.017,-0.037
SELL,-0.0348,0.0128,-0.038
BUY,-0.0354,0.0077,-0.0387
SELL,-0.0261,0.0226,-0.0284
BUY,-0.0188,0.0012,-0.0182
SELL,-0.0094,0.0311,-0.011
