Signal,Profit %,Run-up %,Drawdown %
SELL,20.98,33.84,0.05
BUY,-2.55,4.08,2.87
SELL,-1.92,1.38,2.69
BUY,-0.55,0.11,0.64
SELL,-0.49,0.24,1.21
BUY,-0.33,0.42,0.34
SELL,-0.99,0.04,1.1
BUY,-2.03,1.92,2.54
SELL,-3.25,0.23,3.59
BUY,-2.24,0.5,2.39
SELL,0.37,4.09,0.74
BUY,-0.93,3.44,1.16
SELL,-2.27,2.61,2.5
BUY,-3.06,1.74,3.32
SELL,-1.66,1.94,2.2
BUY,-1.81,1.89,1.79
SELL,-0.07,4.01,2.15
BUY,5.93,11.12,0.38
SELL,0.84,5.24,0.11
BUY,-2.17,0.13,2.33
SELL,-2.02,2.4,2.22
BUY,-1.37,3.81,1.48
SELL,-3.06,3.35,4.17
BUY,-2.87,1.62,4.03
SELL,-1.88,0.49,2.31
BUY,-1.85,0.08,2.02
SELL,32.64,41.78,1.66
BUY,-1.24,6.79,3.52
SELL,-3.52,0.26,3.93
BUY,-1.66,0.41,1.77
SELL,-0.34,3.37,0.56
BUY,-0.75,0.41,0.84
SELL,-0.86,1.01,1.41
BUY,-3.77,6.53,3.83
SELL,-1.05,6.03,5.83
BUY,5.47,12.83,3.44
SELL,4.59,10.28,0.52
BUY,6.85,13.38,2.4
SELL,-1.04,0.09,1.25
BUY,4.65,11.92,0.58
SELL,-2.24,1.57,2.25
BUY,-4.23,2.41,4.26
SELL,-1.58,6.82,3.57
BUY,3.21,9.36,0.02
SELL,-0.42,2.86,0.92
BUY,-1.76,0.23,1.81
SELL,-2.9,2.58,2.95
BUY,,,
